ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
A,"It may be a prejudice against Korean-Chinese, but the fear grows as I come across the word Korean-Chinese easily in violent crime articles. Because all crimes are wrong, I think the punishment should be tougher. The law must be overhauled so that no more people die unjustly in a brutal way!!",1,51,64.21,4.22,46.57,1,17,21.57,90.2,70.59,54.9,7.84,3.92,3.92,0,0,0,0,3.92,19.61,11.76,0,9.8,13.73,1.96,7.84,1.96,21.57,9.8,3.92,3.92,0,0,3.92,19.61,3.92,15.69,1.96,1.96,5.88,1.96,3.92,3.92,0,11.76,0,11.76,3.92,0,3.92,1.96,1.96,0,0,11.76,11.76,0,0,1.96,5.88,1.96,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,5.88,11.76,0,1.96,11.76,0,0,0,0,0,3.92,1.96,0,0,0,0,0,15.69,3.92,3.92,0,3.92,0,3.92
A,"Koreansof violent crimesaid to be the culpritI think .prejudiceHaveinlike thatthinkingsame thoughstillsaid to be the culpritI think .movie onlylook at itby the way ,newsOnce in a whilecoming outcontent onlylook at itviolent crimecriminalslookKoreans toomany thingsis the same .not reallyclosewant towithoutweby taxTo thembenefitgive meto beeven moreI am against.",1,45,98.78,5.61,32.09,3.72,45,46.67,53.33,44.44,35.56,2.22,0,0,0,0,0,0,2.22,11.11,11.11,0,13.33,6.67,0,0,2.22,11.11,4.44,0,0,0,0,0,11.11,0,11.11,4.44,0,0,0,0,6.67,0,2.22,0,2.22,2.22,0,2.22,0,2.22,0,0,2.22,2.22,0,0,0,2.22,0,0,0,0,0,0,2.22,0,2.22,0,2.22,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,4.44,0,0,0,0,0,2.22,0,0,0,0,0,0,11.11,8.89,2.22,0,0,0,0
A,"Based on the issues of violent crimes in the Korean-Chinese, I think there is a need for speculation and caution. But it seems that people have a bad perception of it. I think we need some action to make it understandable to improve awareness.",1,44,86.07,27.64,89.39,3.56,14.67,18.18,95.45,75,54.55,15.91,6.82,4.55,2.27,0,0,0,9.09,13.64,9.09,0,15.91,4.55,2.27,4.55,0,20.45,4.55,2.27,4.55,2.27,2.27,0,27.27,0,27.27,15.91,4.55,4.55,2.27,0,2.27,0,6.82,2.27,4.55,4.55,0,4.55,0,2.27,0,0,2.27,0,0,0,0,0,0,2.27,0,0,0,0,2.27,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,2.27,0,11.36,13.64,4.55,2.27,4.55,0,0,0,0,0,4.55,0,0,0,0,0,0,11.36,6.82,2.27,0,0,0,2.27
A,"think it is an unfounded prejudice against the Korean-Chinese. I do not believe that foreigners commit more crimes and Koreans do not commit crimes. It depends on the person, but I don't think it has anything to do with nationality. However, I do not think that the standard of punishment for foreigners should be applied the same as domestic or that the standard of punishment for each country should not be different.",1,72,29.64,1,77.17,2.17,18,27.78,93.06,80.56,63.89,13.89,4.17,4.17,0,0,0,0,9.72,15.28,8.33,0,12.5,15.28,1.39,6.94,6.94,25,8.33,1.39,2.78,0,0,2.78,25,0,25,5.56,1.39,2.78,4.17,0,13.89,0,2.78,0,2.78,0,0,0,0,0,0,0,9.72,4.17,0,0,0,1.39,0,4.17,0,0,0,0,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,1.39,0,0,1.39,0,0,0,0,0,5.56,0,0,0,0,0,0,11.11,5.56,2.78,0,0,1.39,1.39
A,"I think it makes no sense to say that Korean-Chinese are the culprits of violent crimes. Although Korean-Chinese crimes have been reported in movies and occasionally in the news, I don't think there are many Korean-Chinese crimes. It seems that the perception of the Korean-Chinese is not good because of some incidents in people's perception. I think it makes no sense to say that Korean-Chinese are the culprits of violent crimes because of the perception.",1,75,63.53,3.18,90.46,1,18.75,25.33,90.67,69.33,56,12,4,4,0,0,0,0,8,17.33,8,0,13.33,9.33,1.33,5.33,5.33,20,4,2.67,0,0,0,0,25.33,2.67,21.33,12,5.33,0,2.67,0,2.67,0,5.33,0,5.33,4,1.33,2.67,0,2.67,0,0,5.33,4,0,0,0,0,4,1.33,0,0,0,0,6.67,0,6.67,0,2.67,1.33,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,5.33,0,0,2.67,1.33,1.33,10.67,0,0,0,0,0,0,16,5.33,1.33,0,0,2.67,6.67
A,"In the case of Daelim, it can be said that the Korean-Chinese seem to commit more crimes than other people, but it is difficult to generalize that they are the culprits of violent crimes. I think it is reasonable to think that the number of crimes is relatively high compared to other foreigners.",1,53,75.29,4.74,79.41,1,26.5,16.98,86.79,79.25,60.38,15.09,3.77,1.89,0,0,0,1.89,11.32,18.87,7.55,0,16.98,11.32,1.89,3.77,0,20.75,13.21,3.77,0,0,0,0,22.64,0,22.64,7.55,1.89,1.89,1.89,0,11.32,0,3.77,0,3.77,1.89,0,1.89,0,1.89,0,0,5.66,1.89,0,0,0,0,1.89,3.77,0,0,0,0,3.77,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,3.77,0,0,3.77,0,0,0,0,1.89,9.43,0,0,0,0,0,0,9.43,3.77,3.77,0,0,0,1.89
A,"There may be some bad behaviors of Korean-Chinese, but because of that, I don't want the majority of innocent Korean-Chinese to be seen as the main culprits other than violent criminals. In addition, I hope that there will be no wrong prejudice even for those who are currently working in the harsh working environment of most of the 3D industry in Korea. What will the children see and learn?",1,69,60.52,8.97,34.62,1,23,24.64,95.65,85.51,62.32,10.14,4.35,2.9,0,0,0,0,5.8,17.39,7.25,1.45,17.39,11.59,5.8,7.25,2.9,21.74,13.04,5.8,2.9,0,2.9,0,13.04,1.45,11.59,1.45,1.45,2.9,2.9,0,4.35,0,7.25,1.45,5.8,4.35,1.45,2.9,0,1.45,0,0,10.14,7.25,0,0,0,5.8,0,2.9,0,0,0,0,2.9,0,2.9,0,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,4.35,11.59,0,0,8.7,2.9,0,0,1.45,1.45,4.35,5.8,0,0,0,0,0,13.04,2.9,4.35,1.45,0,1.45,2.9
A,"It may be an unfounded prejudice, but I think it can be because it has sufficient conditions to cause a violent crime when looking at the probability and frequency of the suspect's identity. However, I think that the government should crack down on and punish illegal immigrants more strongly because it is not a good effect to have a bad perception of some Korean-Chinese who are not.",1,67,37.12,8.46,37.86,1,33.5,28.36,91.04,76.12,62.69,11.94,4.48,2.99,0,0,0,0,7.46,14.93,10.45,0,10.45,13.43,2.99,10.45,2.99,19.4,7.46,2.99,2.99,0,0,2.99,26.87,0,23.88,7.46,5.97,2.99,2.99,0,5.97,0,13.43,1.49,11.94,4.48,1.49,2.99,0,1.49,0,0,7.46,2.99,0,0,0,1.49,0,4.48,0,0,0,0,5.97,4.48,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,1.49,4.48,0,0,1.49,1.49,0,0,1.49,0,5.97,1.49,0,0,0,0,0,8.96,2.99,2.99,0,0,1.49,1.49
A,"Due to the concentration of Korean-Chinese in some specific areas, the proportion of Korean-Chinese in crimes occurring in that area may be high, but slander cannot only be targeted at a specific group. In addition, as there may be minor quarrels that may occur due to cultural differences, it is impossible to unconditionally slander the Korean-Chinese.",1,56,86.87,9.23,82.24,1,28,30.36,87.5,66.07,53.57,5.36,0,0,0,0,0,0,5.36,12.5,7.14,0,19.64,14.29,3.57,3.57,1.79,14.29,12.5,3.57,0,0,0,0,14.29,0,14.29,1.79,0,1.79,5.36,0,7.14,0,5.36,0,5.36,0,0,0,0,0,0,0,8.93,5.36,0,0,1.79,3.57,0,1.79,0,0,0,0,5.36,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,14.29,1.79,0,12.5,0,0,0,3.57,0,3.57,5.36,0,0,0,0,0,16.07,3.57,7.14,0,0,0,5.36
A,"If you look at the actual incidents, the majority of violent crime perpetrators are Korean-Chinese. It's not a bias, it's the truth!! I hate Koreans. Just by looking at the recent hit movie Crime City, you can see at a glance what the Koreans have been doing. The same goes for Won-Chun Oh's case... It's not a prejudice, it's a fact. Korean-Chinese are the culprits of violent crime",1,68,79.1,17.98,7.78,1,9.71,19.12,82.35,67.65,52.94,11.76,4.41,1.47,0,2.94,0,0,7.35,16.18,16.18,0,10.29,14.71,1.47,1.47,2.94,22.06,5.88,1.47,0,0,0,0,7.35,0,7.35,0,0,1.47,1.47,0,5.88,0,5.88,0,5.88,4.41,0,4.41,0,4.41,0,0,5.88,1.47,0,0,0,1.47,0,2.94,0,0,0,0,5.88,0,5.88,0,1.47,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,8.82,1.47,1.47,1.47,5.88,0,0,1.47,1.47,11.76,0,0,0,0,0,0,30.88,10.29,5.88,0,2.94,7.35,4.41
